title,author,reviewer,paid review?,editor (internal use),genre,"Author Diversity (1=yes, 0=no)","Gender (1=woman, 0=man)",reviewer link,reviewer ID,isbn,oclc,hide_ibooks,book_seamus_id,tags,genre (internal use),text
Showa: A History of Japan 1953-1989 ,Shigeru Mizuki,Etelka Lehoczky,1,Petra,,1,0,,,,,,,"Comics & Graphic Novels, Biography & Memoir, For History Lovers, Tales from Around the World, Rather Long",,
The Thrilling Adventures of Lovelace and Babbage ,Sydney Padua,Etelka Lehoczky,1,Petra,,0,1,,,,,,,"Comics & Graphic Novels, Historical Fiction, Eye-Opening Reads, It’s All Geek to Me, Science & Society, For History Lovers",,
Killing and Dying,Adrian Tomine,Glen Weldon,1,Petra,,1,0,,,,,,,,,
Deep Dark Fears,Fran Krause,Glen Weldon,1,Petra,,0,1,,,,,,,,,
Two Brothers,Gabriel Bá and Fabio Moon,Glen Weldon,1,Petra,,1,0,,,,,,,,,
Drifter,Jeff Lemire,Glen Weldon,1,Petra,,0,0,,,,,,,,,
SuperMutant Magic Academy,Jillian Tamaki,Glen Weldon,1,Petra,,1 (?),1,,,,,,,,,
Poorly Drawn Lines,Reza Farazmand,Glen Weldon,1,Petra,,1 (?),0,,,,,,,,,
Unbeatable Squirrel Girl,Ryan North,Glen Weldon,1,Petra,,0,0,,,,,,,,,
Fortune Smiles,Adam Johnson,Jane Ciabattari,1,Petra,,0,0,,,,,,,,,
Gutshot,Amelia Gray,Jane Ciabattari,1,Petra,,0,1,,,,,,,,,
"Mothers, Tell Your Daughters",Bonnie Jo Campbell,Jane Ciabattari,1,Petra,,0,1,,,,,,,,,
There's Something I Want You to Do,Charles Baxter,Jane Ciabattari,1,Petra,,0,0,,,,,,,,,
Freeman's: Arrival,ed. John Freeman,Jane Ciabattari,1,Petra,,0,0,,,,,,,,,
Mrs. Engels,Gavin McCrea,Jane Ciabattari,1,Petra,,0,0,,,,,,,,,
Only the Strong,Jabari Asim,Jane Ciabattari,1,Petra,,1,,,,,,,,,,
The Double Life of Liliane,Lily Tuck,Jane Ciabattari,1,Petra,,0,1,,,,,,,,,
The Vorrh,Brian Catling,Jason Heller,1,Petra,,0,0,,,,,,,,,
The Only Ones,Carola Dibbell,Jason Heller,1,Petra,,0,1,,,,,,,,,
Three Moments of an Explosion,China Miéville,Jason Heller,1,Petra,,0,0,,,,,,,,,
Slice Harvester,Colin Atrophy Hagendorf,Jason Heller,1,Petra,,,0,,,,,,,,,
"Not on Fire, but Burning",Greg Hrbek,Jason Heller,1,Petra,,,0,,,,,,,,,
The Gracekeepers,Kirsty Logan,Jason Heller,1,Petra,,,1,,,,,,,,,
Vermilion,Molly Tanzer,Jason Heller,1,Petra,,,1,,,,,,,,,
Fake Fruit Factory,Patrick Wensick,Jason Heller,1,Petra,,,0,,,,,,,,,
A Head Full of Ghosts,Paul Tremblay,Jason Heller,1,Petra,,,0,,,,,,,,,
Binary Star,Sarah Gerard,Jason Heller,1,Petra,,,1,,,,,,,,,
The World Before Us,Aislinn Hunter,Jean Zimmerman,1,Petra,,0,,,,,,,,,,
The Marriage of Opposites,Alice Hoffman,Jean Zimmerman,1,Petra,,0,1,,,,,,,,,
Circling the Sun,Paula McLain,Jean Zimmerman,1,Petra,,0,1,,,,,,,,,
Death and Mr. Pickwick,Stephen Jarvis,Jean Zimmerman,1,Petra,,0,0,,,,,,,,,
A History of Money,Alan Pauls,Juan Vidal,1,Petra,,1,0,,,,,,,"Realistic Fiction, Historical Fiction",,"In The History of Money, Argentinian novelist Alan Pauls frames a brilliant and absorbing tale through the lens of money and materialism. Translated by Ellie Robins, the novel delves into the troubled political and economic history of Argentina. As great stories often do, it begins with a body, that of a steel company executive who, sent to deliver an attaché case full of money, dies in a helicopter crash. Was this event an accident or a planned execution? The unnamed narrator asks these questions while also weaving stories concerning his personal history with money and how it complicates our lives. Pauls' book is a beautifully textured one chalk full with sentences that consistently dazzle the reader."
Where the Bird Sings Best,Alejandro Jodorowsky,Juan Vidal,1,Petra,,1,0,,,,,,,"Seriously Great Writing, The Dark Side",,"Where the Bird Sings Best is Alejandro Jodorowsky's brilliant, mad, and unpredictable semi-autobiographical novel. Translated by Alfred MacAdam, this multigenerational chronicle introduces a host of memorable characters, from a dwarf prostitute and a floating ghost-Rabbi, to a lion tamer who eats raw meat and teaches his beasts to jump through flaming hoops. Fantastical elements aside, Where the Bird Sings Best is a fiercely original immigration tale that culminates in the author's birth in Chile in 1929 — a complicated time in that nation's history. Combine that with poetry, Tarot, and Jewish mysticism and you have a genius' surreal vision brought to life. "
My Documents,Alejandro Zambra,Juan Vidal,1,Petra,,1,0,,,,,,,"Poetry & Short Stories, Seriously Great Writing",,"In My Documents, a collection of 11 stories translated by Megan McDowell, Alejandro Zambra tells stories like only he can. He finds the foundations for his most enthralling work in the complex ties between fathers and sons, nations and their people, and especially hapless lovers. To read Zambra and a collection like My Documents is to engage with someone who writes as though the burden of history were upon him and no one else — the history of his country of Chile, of literature, and of humanity's shared experience. Put simply, the novel is a force, and further proof that the author is in a class of his own."
The Dead Mountaineer's Inn,Boris & Arkady Strugatsky,Juan Vidal,1,Petra,,,,,,,,,,Science Fiction & Fantasy,,"The Dead Mountaineer's Inn by Boris and Arkady Strugatsky is a smart and a deeply funny tale that sends its readers down unpredictable paths. Translated in English for the first time by Josh Billings, the novel is centered around an odd cast of characters that are completely disconnected from the world and one another. First published in 1970, it follows police inspector Peter Glebsky, a family man anticipating two weeks of vacation, his first in years. Shortly after arriving at the inn, however, strange things begin to unravel, and Glebsky realizes his vacation will be anything but relaxing. After a body surfaces, the story takes on a new level of strange and readers are thrown into a detective story that is nothing short of exhilarating."
The Ghost Network,Catie Disabato,Juan Vidal,1,Petra,,0,1,,,,,,,Realistic Fiction,,"The Ghost Network is Catie Disabato's sharp and inventive debut novel. It tells the story of pop star Molly Metropolis who, while en route to a show in Chicago, vanishes mysteriously. Her personal assistant Nix takes on the role of detective, searching for clues in Molly's journal and going down a rabbit hole of abandoned subway lines, song lyrics, and secret societies. Disabato weaves a fast-paced and brilliantly structured story that is at once fiercely controlled and highly obsessive."
The Complete stories,Clarice Lispector,Juan Vidal,1,Petra,,1,1,,,,,,,"Poetry & Short Stories, Seriously Great Writing",,"In The Complete Stories, Clarice Lispector proves herself to be a true master of narrative. The collection, translated by Katrina Dodson, is a perfect introduction to those not familiar with Lispector's work. It is beautifully structured and poignant on all levels. Stories like ""The Escape"" and ""Daydream and Drunkenness of a Young Lady” — which deals with a discontented housewife on the brink of insanity — stay with you like a kind of dream. These 85 stories, some spanning only a few pages, reaffirm her singularity and her reputation as ""the great witch of Brazilian literature."" Long after her death, Lispector continues to champion the possibilities of language, and its ability to mesmerize."
Tropisms,Nathalie Sarraute,Juan Vidal,1,Petra,,0,1,,,,,,,Poetry & Short Stories,,"Originally published in 1939, Tropisms is the stunning debut of the late Nathalie Sarraute, long considered one of France's most important writers. The author, who's work went on to be translated to dozens of languages, once described her first novel as the “interior movements that precede and prepare our words and actions, at the limits of our consciousness.” This collection of vignettes – made of short scenes and anecdotes – reads like quiet prose poems that stay with the reader. Translated by Maria Jolas, Tropisms is a short albeit powerful masterpiece in every sense."
A Planet for Rent,Yoss,Juan Vidal,1,Petra,,1,,,,,,,,Science Fiction & Fantasy,,"A Planet for Rent is the English-language debut of Yoss, one of Cuba's most lauded writers of Science Fiction. Translated by David Frye, the interwoven stories craft a picture of a dystopian future in which an alien species called ""Xenoids"" has invaded planet Earth. Many of the planet's inhabitants are looking to flee, as it has become economically and socially bankrupt. Yoss's smart and entertaining novel tackles themes like prostitution, immigration, and political corruption. Ultimately, it serves as an empathetic yet impassioned metaphor for modern day Cuba, where the struggle for power has complicated every facet of society. "
The Mission Chinese Food Cookbook,Danny Bowien and Chris Ying,Rose Friedman,0,Petra,,,0,,,,,,,,,
Mamushka: Recipes from Ukraine and Eastern Europe,Olia Hercules,Rose Friedman,0,Petra,,,1,,,,,,,,,
Lucky Peach Presents 101 Easy Asian Recipes,Peter Meehan,Rose Friedman,0,Petra,,,0,,,,,,,,,
We Are Pirates,Daniel Handler,Tasha Robinson,1,Petra,,,0,,,,,,,,,
The Girl In the Spider's Web,David Lagercrantz,Tasha Robinson,1,Petra,,,0,,,,,,,,,
Playlist for the Dead,Michelle Falkoff,Tasha Robinson,1,Petra,,,1,,,,,,,,,
Let Me Tell You,Shirley Jackson,Tasha Robinson,1,Petra,,,1,,,,,,,,,
The Shepherd's Crown,Terry Pratchett,Tasha Robinson,1,Petra,,,0,,,,,,,,,
The Thing About Jellyfish,Ali Benjamin,Barrie Hardymon,0,Rose,,0,1,,,,,,,,,
Thirteen Ways of Looking: Fiction,Colum MCann,Barrie Hardymon,0,Rose,,0,0,,,,,,,,,
City On Fire,Garth Risk Hallberg,Barrie Hardymon,0,Rose,,0,0,,,,,,,,,
The Secret Chord,Geraldine Brooks,Barrie Hardymon,0,Rose,,0,1,,,,,,,,,
The Gap of Time: A Novel (Hogarth Shakespeare),Jeanette Winterston,Barrie Hardymon,0,Rose,,0,1,,,,,,,,,
Ted Hughes: The Unauthorised Life,Jonathan Bate,Barrie Hardymon,0,Rose,,0,0,,,,,,,,,
Outline,Rachel Cusk,Barrie Hardymon,0,Rose,,0,1,,,,,,,,,
Ordinary Light: A memoir,Tracy K Smith,Barrie Hardymon,0,Rose,,1,1,,,,,,,,,
Did You Ever Have a Family,Bill Clegg,Heller McAlpin,1,Rose,,0,0,,,,,,, Book Club ideas; Family Matters; Realistic Fiction; the Dark Side; Seriously Great Writing,,"Bill Clegg’s polished, deeply compassionate debut novel digs through the ashes of a tragic fire that wipes out a woman’s nearest and dearest on the eve of her daughter’s wedding to explore “the obscenity of the loss” and illuminate how scorching grief, guilt, regrets and the deep need for human connection are woven into the very flammable fabric of humanity. Yes, the title is schmaltzy and the set-up feels ripped from the headlines.  But the novel, shifting between various survivors, builds in intensity as it reveals what really happened, what was at stake and lost in the conflagration, and the solace and hopefulness to be found in connecting with others."
Honeydew,Edith Pearlman,Heller McAlpin,1,Rose,,0,1,,,,,,,Short Stories; Family Matters; Seriously Great Writing; Realistic Fiction; Book Club Ideas,,"Like melon and proscuitto, the 20 bittersweet, unconventional love stories in Honeydew delectably combine sweet and salty.  Many are set in Godolphin, Mass., Pearlman’s fictional stand-in for Brookline, the Boston suburb that’s home to a multicultural mix of doctors, academics, realtors and their brainy offspring – and Pearlman.  She wields sly charm and a precise vocabulary, writing elegantly even about sex and compassionately about people who learn to adjust their expectations and recognize the merits of being “happy enough.” These penetrating stories, a worthy follow-up to Binocular Vision,  her 2012 National Book Critics Circle winner, are ripe with loss and pain yet reaffirm the value of living."
Nein: a Manifesto,Eric Jarosinksi,Heller McAlpin,1,Rose,,0,0,,,,,,,Comics & Graphic Novels; Rather Short; Eye-opening; Philosophical; Funny Stuff,,"Oh, the joys of negativity! Jarosinski, a self-proclaimed failed intellectual who leapt off the tenure track in modern German critical theory, has made it his mission to fight “a world of yes.  A tyranny of yes.” This profoundly clever chapbook of brainy, nihilistic, dour but playful aphorisms began as work-avoiding tweets. With the stern-faced, monocled German-Jewish philosopher Theodor W. Adorno as his avatar,  Jarosinski riffs succinctly and brilliantly on Nietzsche, Freud, Marx, philosophy, and language as he gleefully plumbs the sinkhole of existential hopelessness. A few favorites: “-Ologies: Are usually taut,” (31) “Atheism: A religion without a prayer,” (117) and “Telling a tale full of sound and fury: Idiot-proof. Signifying nothing: “Harder than it looks.” (56)   An aphorism, he writes, is “Philosophy’s ship in literature’s bottle.” (49) In my book, Nein is a big Yes."
The Fly Trap,Fredrik Sjoberg,Heller McAlpin,1,Rose,,0,0,,,,,,,Memoir; Science; Seriously Great Writing; Rather Short; Eye-Opening; Tales From Around the World; For Nature Lovers; Funny Stuff,,"A charming memoir about a Swedish biologist’s passion for hoverflies? Seriously?  Yes.  Talk about off-the-beaten track, Fredrik Sjöberg, who lives on the tiny island of Runmarö in the archipelago east of Stockholm, muses and amuses about his baffling passion for hoverflies.  In this wry, delightful paean to some of the tiniest wonders of the natural world, he also makes a case for the opposite of globalism – cutting our overwhelming world down to size by focusing intensely on a narrow point of interest. The Fly Trap proves that great writing can elevate anything – including a swarm of insects."
Early Warning and Golden Age,Jane Smiley,Heller McAlpin,1,Rose,,0,1,,,,,,,Rather Long; Family Matters; Realistic Fiction; Book Club Ideas,,"Jane Smiley’s sweeping, cumulatively addictive Last Hundred Years trilogy follows an Iowa farm family from 1920-2019, with a chapter devoted to each year.   The Langdons disperse across the country, fight wars overseas, serve in Congress, make and lose bundles on Wall Street, marry and divorce, and suffer the effects of climate change.  Breeding and hybridization – of crops, farm animals and people – are recurrent themes. The trilogy’s power lies in the unfolding lives of a Russian novel’s worth of characters who share DNA and an eroded connection to a patch of Iowa land, if little else.  “Golden Age,” with more deaths than births, provides a satisfying though sober finale to Smiley’s saga, as her surviving characters wonder if the golden age is perhaps behind them."
Between You and Me,Mary Norris,Heller McAlpin,1,Rose,,0,1,,,,,,,Funny Stuff; Memoir; Grammar; Eye-Opening Reads,,"Between You and Me is part memoir, part guide to the mindbending nuances of English grammar, part homage to The New Yorker -- where Mary Norris has spent more than 20 years as a highly specialized proofreader -- and completely delightful.  It brims with wit, personality,  and commas. Norris is a stickler who can’t resist schtick.  She pounces gleefully on typos and is as passionate about sharp pencils --  soft graphite Palomina Blackwing 602 pencils, to be specific -- as she is about sharp writing.  Despite her insistence on maintaining grammatical standards, a prim and regal comma queen she is not.  In fact, she is vociferous in her defense of judiciously deployed profanity – which adds punch to her explanation of why “between you and I,” in trying to be “so f-ing polite,” is just wrong, wrong, wrong. "
M Train,Patti Smith,Heller McAlpin,1,Rose,,0,1,,,,,,,Memoir; For Music Lovers; Rather Short; Seriously Great Writing; Book Club Ideas,,"Patti Smith writes exquisitely and achingly about loss and the things that matter to her in her second memoir.  Unlike the mostly chronological narrative of Just Kids, which centered on her relationship with Robert Mapplethorpe, M Train is a running mental locomotive of memories and dreams, with little about her performance career. The tone is elegiac, melancholic, and meditative as she evokes people who died far too young, including – most devastatingly – her husband Fred “Sonic” Smith and her brother Todd, both in 1994.  But the book is energized by various passions, including coffee, television detective mysteries, far-flung pilgrimages to the graves of artistic and literary touchstones, and a rundown property she buys near the beach in Far Rockaway, Queens, just weeks before Hurricane Sandy devastated the area.  "
My Kitchen Year,Ruth Reichl,Heller McAlpin,,Rose,,0,1,,,,,,,"Cookbooks & Food, Memoir",,"When Gourmet abruptly ceased publishing in 2009, Ruth Reichl, its editor-in-chief for 10 years, retreated from Manhattan to her upstate New York hilltop glass house.   Clearly not wired for the retiring life, she threw herself into writing My Kitchen Year,  an unabashedly sentimental memoir about the restorative solace of cooking and the redemptive power of “finding joy in ordinary things.” But even better, it’s a collection of 136 recipes, mostly comfort food and the stuff of cravings.  With her predilection for lemons, splashes of Sriracha, and fistfuls of cilantro, it’s clear that Reichl likes assertive pick-me-up foods.  She’s also assertive in her opinions.  For example, about her favorite “ethereal” yeast-raised waffles, a Fannie Farmer classic, she comments, “There are easier waffle recipes, but they’re little more than pancakes with dents.” Plenty to feast on here."
The Story of My Teeth,Valeria Luiselli,Heller McAlpin,1,Rose,,1,1,,,,,,,Seriously Great Writing; Tales from around the world; Rather Short; Book Club Ideas,,"Quirky and inventive, Valeria Luiselli’s second novel, written in collaboration with Mexican Jumex juice factory workers,  is a playful, philosophical funhouse of a read that demonstrates that not only isn’t experimental fiction dead, it needn’t be deadly, either.  Luiselli’s elastic mind comfortably wraps itself around molars, Montaigne, fortune cookies, and theories of identity and storytelling.  Her charming narrator is an auctioneer who can amp up the value of anything – including his extracted chompers – by embellishing them with hyperbolic, allegoric stories that deliciously “surpass the truth.”"
Against The Country,Ben Metcalf,Jason Sheehan,1,Rose,,0,0,,,,,,,,,
Black Chalk,Christopher J. Yates,Jason Sheehan,1,Rose,,0,0,,,,,,,,,
Gold Fame Citrus,Claire Vaye Watkins,Jason Sheehan,1,Rose,,0,1,,,,,,,,,
Slade House,David Mitchell,Jason Sheehan,1,Rose,,0,0,,,,,,,,,
Summerlong,Dean Bakopolous,Jason Sheehan,1,Rose,,0,0,,,,,,,,,
"The Familiar, Volume 1: One Rainy Day in May",Mark Z. Danielewski,Jason Sheehan,1,Rose,,0,0,,,,,,,,,
Epitaph: A Novel of the O.K. Corral,Mary Doria Russell,Jason Sheehan,1,Rose,,0,1,,,,,,,,,
Seveneves,Neal Stephenson,Jason Sheehan,1,Rose,,0,0,,,,,,,,,
The Wake,Paul Kingsnorth,Jason Sheehan,1,Rose,,0,0,,,,,,,,,
Golden Son,Pierce Brown,Jason Sheehan,1,Rose,,0,0,,,,,,,,,
The Country of Ice Cream Star,Sandra Newman,Jason Sheehan,1,Rose,,0,1,,,,,,,,,
Purity,Jonathan Franzen,Laila Lalami,1,Rose,,,0,,,,,,,,,
Letter to a Future Lover,Ander Monson,Michael Schaub,1,Rose,,,,,,,,,,"Seriously Great Writing, Rather Short, Book Club Ideas",,"For Ander Monson, libraries are something more than just buildings filled with books. He's interested in libraries as a concept, as a living, adapting exchange of ideas, as a way people can connect with one another, even across generations. Monson’s latest is a breathtakingly original consideration of what it means to be a reader — or a writer, or a human being. His focus isn't books, but rather the things we find in them: notes, date due slips, scrawlings in the margins. As an essay collection, it's magnificent; as a love letter, it's a work of overwhelming devotion and generosity."
One of Us,Asne Seierstad,Michael Schaub,1,Rose,,,,,,,,,,"Eye-Opening Reads, Rather Long, The Dark Side",,"Journalist Seierstad's recounting of the 2011 massacre in Norway, in which an ultra-right wing terrorist killed 77 people, most of them children, is unimaginably difficult to read. But it’s worth it: her writing, translated into English by Sarah Death, is both straightforward and compassionate. One of Us is a masterpiece of journalism, a deeply painful chronicle of an inexplicable and horrifying attack that we'll likely never understand. "
The Book of Aron,Jim Shepard,Michael Schaub,1,Rose,,,0,,,,,,,"Historical Fiction, Seriously Great Writing, The Dark Side",,"Shepard’s latest novel tells the story of Aron, a Polish boy living in Warsaw when the Nazis invade. The book shares some predictable traits with other works of fiction about the Holocaust — it's horrifying, brutal and angry. But Shepard, who for years has been one of this country's greatest fiction writers, is as original here as he has ever been. It's an immensely rewarding, shocking and beautiful book."
The Visiting Privilege,Joy Williams,Michael Schaub,1,Rose,,,1,,,,,,,"Family Matters, Poetry & Short Stories, Rather Long, Seriously Great Writing, Realistic Fiction",,"The Visiting Privilege is the rare collection that doesn't have a single story, even a single paragraph, that's less than brilliant, and it proves that Williams is quite possibly America's best living writer of short stories. She is our poet laureate of loss and mourning, but she's so much more than that — she seems to have a supernatural ability to show what makes us function as people, at our best and at our worst. And most importantly, she celebrates our vulnerabilities, the moments that make us so imperfect and broken and essentially human."
"Don’t Suck, Don’t Die",Kristin Hersh,Michael Schaub,1,Rose,,,1,,,,,,,"Biography & Memoir, For Music Lovers, Rather Short, Seriously Great Writing, The Dark Side",,"Throwing Muses frontwoman Hersh recounts the time she spent with her friend Vic Chesnutt, the indie rock legend who died in 2009 at age 45. Written mostly in the second person, it’s essentially a tender, angry love letter to Chesnutt. Don't Suck, Don't Die is not only one of the best books of the year, it's one of the most beautiful rock memoirs ever written. Hersh is as stunningly talented an author as she is a musician, and her portrayal of Chesnutt is perfectly done."
Find Me,Laura van den Berg,Michael Schaub,1,Rose,,,1,,,,,,,"Book Club Ideas, Science Fiction & Fantasy, Seriously Great Writing, The Dark Side",,"Van den Berg’s novel follows Joy, a young woman who’s taken to a hospital in rural Kansas after surviving a pandemic that has killed hundreds of thousands of Americans. Find Me is both touching and haunting, an extremely powerful look at the fragility of human life, the connections we make in dire circumstances, and the will to survive even when it seems like there’s no point."
Barbara the Slut,Lauren Holmes,Michael Schaub,1,Rose,,,1,,,,,,,"Poetry & Short Stories, Book Club Ideas, Funny Stuff, Realistic Fiction",,"The characters in Holmes’ debut short story collection are fully, sometimes exasperatingly real, portrayed by a young writer with a great deal of charm and not a hint of pretension. The stories in this book are sometimes painful, sometimes brilliantly funny, and most often both; Holmes can find the humor in the worst situations, and the tragedy in the most glorious moments. But it's her characters that carry the stories — imperfect, difficult and defiantly human. In other words, they're people. Just like us."
Speak,Louisa Hall,Michael Schaub,1,Rose,,,1,,,,,,,"Eye-Opening Reads, Historical Fiction, It’s All Geek to Me, Science Fiction & Fantasy, Seriously Great Writing",,"An inventor is imprisoned for making baby dolls that are too realistic. A Puritan girl, married against her will, sails to America with her dog. A programmer’s wife shuns him in favor of a sentient computer he created. In this stunning and audacious second novel from author Hall, perspectives shift between different eras and places, twisting together to form a story that's as hard to describe as it is remarkable.It's not just one of the smartest books of the year, it's one of the most beautiful ones."
The Water Museum,Luis Alberto Urrea,Michael Schaub,1,Rose,,,0,,,,,,,"Poetry & Short Stories, Realistic Fiction, Seriously Great Writing",,"Most of the stories in The Water Museum take place in the American West and Southwest, but they’re all universal. It's difficult to find comparisons to an author as original as Urrea, but you could say that he's kind of a country-punk Lorrie Moore, compassionate but hard-edged, a kind of literary badass who still believes in love, because sometimes, there's nothing much else to believe in. The Water Museum is a brilliant, powerful collection, and Luis Alberto Urrea is a master storyteller with a rock 'n' roll heart."
In the Country,Mia Alvar,Michael Schaub,1,Rose,,,0,,,,,,,"Poetry & Short Stories, Book Club Ideas, Realistic Fiction, Tales from Around the World",,"Set variously in the Philippines, the U.S. and Bahrain, In the Country is a stunning short story collection about people who have little to nothing in common with one another, except that they're all trying to find a home, and it's always a more challenging task than anyone would expect. Alvar finds beauty in the unlikeliest of places, and that's what makes In the Country such an inspired, remarkable book."
The Sellout,Paul Beatty,Michael Schaub,1,Rose,,,0,,,,,,,"Book Club Ideas, Funny Stuff, Seriously Great Writing",,"The story of an African American man who attempts to bring back slavery and resegregate his Los Angeles neighborhood, The Sellout is the funniest American satire in years. It's a risky book unconcerned about offending readers, and also a comic masterpiece. But it's much more than just that — it's one of the smartest and most honest reflections on race and identity in America in a very long time, written by an author who truly understands what it means to talk about the history of the country."
See How Small,Scott Blackwood,Michael Schaub,1,Rose,,,0,,,,,,,"Eye-Opening Reads, Mysteries & Thrillers, Realistic Fiction, The Dark Side",,"Blackwood’s novel is inspired by inspired by the Austin yogurt shop murders, a grisly unsolved case from 1991, in which four young girls were murdered, and the store where they worked was set ablaze. Blackwood writes with compassionate eyes, beautifully poetic writing and artistic fearlessness. See How Small is a brutal, necessary and near perfect novel."
Among the Wild Mulattos,Tom Williams,Michael Schaub,1,Rose,,,0,,,,,,,"Eye-Opening Reads, Funny Stuff, Poetry & Short Stories, Seriously Great Writing",,"Identity, both racial and otherwise, is at the heart of nearly all the stories in Among the Wild Mulattos, a manic, cutting and frequently hilarious collection from Kentucky author and academic Williams. He's an uncompromising writer with a fiercely original voice, and he's created one of the most unforgettable books of the year. The collection feels vital, essential, not only for the unexpected ways Williams talks about identity, but for his brash, gutsy writing."
Book of Numbers,Joshua Cohen,Robert Siegel ,0,Rose,,0,0,,,,,,,,,
Widow Basqiuat,Jennifer Clement,Saeed Jones,1,Rose,,,,,,,,,,,,
A Wild Swan,Michael Cunningham,Saeed Jones,1,Rose,,,,,,,,,,,,
Spectacle,Pamela Newkirk,Saeed Jones,1,Rose,,,,,,,,,,,,
Boy With Thorn,Rickey Laurentiis,Saeed Jones,1,Rose,,,,,,,,,,,,
,,,153,Target = 157 paid reviews,,,106,,,,,,,,,
